Instrument,YahooStockSymbol
ASTEC,ASTEC.NS
ASTERDM,ASTERDM.NS
ASTRAL,ASTRAL.NS
ASTRAMICRO,ASTRAMICRO.NS
ASTRAZEN,ASTRAZEN.NS
ASTRON,ASTRON.NS
ATFL,ATFL.NS
ATGL,ATGL.NS
ATUL,ATUL.NS
ATULAUTO,ATULAUTO.NS
AUBANK,AUBANK.NS
AURIONPRO,AURIONPRO.NS
AUROPHARMA,AUROPHARMA.NS
AURUM,AURUM.NS
AUSOMENT,AUSOMENT.NS
AUTOAXLES,AUTOAXLES.NS
AUTOBEES,AUTOBEES.NS
AUTOIND,AUTOIND.NS
AVADHSUGAR,AVADHSUGAR.NS
AVANTIFEED,AVANTIFEED.NS
AVONMORE,AVONMORE.NS
AVTNPL,AVTNPL.NS
AWHCL,AWHCL.NS
AWL,AWL.NS
AXISBANK,AXISBANK.NS
AXISBNKETF,AXISBNKETF.NS
AXISBPSETF,AXISBPSETF.NS
AXISCADES,AXISCADES.NS
AXISCETF,AXISCETF.NS
AXISGOLD,AXISGOLD.NS
AXISHCETF,AXISHCETF.NS
AXISILVER,AXISILVER.NS
AXISNIFTY,AXISNIFTY.NS
AXISTECETF,AXISTECETF.NS
AXITA,AXITA.NS
AYMSYNTEX,AYMSYNTEX.NS
BAGFILMS,BAGFILMS.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJAJCON,BAJAJCON.NS
BAJAJELEC,BAJAJELEC.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHCARE,BAJAJHCARE.NS
BAJAJHIND,BAJAJHIND.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BAJFINANCE,BAJFINANCE.NS
BALAJITELE,BALAJITELE.NS
BALAMINES,BALAMINES.NS
BALAXI,BALAXI.NS
BALKRISIND,BALKRISIND.NS
BALMLAWRIE,BALMLAWRIE.NS
BALPHARMA,BALPHARMA.NS
BALRAMCHIN,BALRAMCHIN.NS
BANARBEADS,BANARBEADS.NS
BANARISUG,BANARISUG.NS
BANCOINDIA,BANCOINDIA.NS
BANDHANBNK,BANDHANBNK.NS
BANG,BANG.NS
BANKA,BANKA.NS
BANKBARODA,BANKBARODA.NS
BANKBEES,BANKBEES.NS
BANKINDIA,BANKINDIA.NS
BANSWRAS,BANSWRAS.NS
BARBEQUE,BARBEQUE.NS
BASF,BASF.NS
BASML,BASML.NS
BATAINDIA,BATAINDIA.NS
BAYERCROP,BAYERCROP.NS
BBETF0432,BBETF0432.NS
BBL,BBL.NS
BBOX,BBOX.NS
BBTC,BBTC.NS
BBTCL,BBTCL.NS
BCG,BCG.NS
BCLIND,BCLIND.NS
BCP,BCP.NS
BDL,BDL.NS
BEARDSELL,BEARDSELL.NS
BECTORFOOD,BECTORFOOD.NS
BEDMUTHA,BEDMUTHA.NS
BEL,BEL.NS
BEML,BEML.NS
BEPL,BEPL.NS
BERGEPAINT,BERGEPAINT.NS
BESTAGRO,BESTAGRO.NS
BFINVEST,BFINVEST.NS
BFUTILITIE,BFUTILITIE.NS
BGRENERGY,BGRENERGY.NS
BHAGCHEM,BHAGCHEM.NS
BHAGERIA,BHAGERIA.NS
BHAGYANGR,BHAGYANGR.NS
BHANDARI,BHANDARI.NS
BHARATFORG,BHARATFORG.NS
BHARATGEAR,BHARATGEAR.NS
BHARATRAS,BHARATRAS.NS
BHARATWIRE,BHARATWIRE.NS
BHARTIARTL,BHARTIARTL.NS
BHEL,BHEL.NS
BIGBLOC,BIGBLOC.NS
BIKAJI,BIKAJI.NS
BIL,BIL.NS
BINDALAGRO,BINDALAGRO.NS
BIOCON,BIOCON.NS
BIOFILCHEM,BIOFILCHEM.NS
BIRLACABLE,BIRLACABLE.NS
BIRLACORPN,BIRLACORPN.NS
BIRLAMONEY,BIRLAMONEY.NS
BLBLIMITED,BLBLIMITED.NS
BLISSGVS,BLISSGVS.NS
BLKASHYAP,BLKASHYAP.NS
BLS,BLS.NS
BLUEDART,BLUEDART.NS
BLUESTARCO,BLUESTARCO.NS
BODALCHEM,BODALCHEM.NS
BOMDYEING,BOMDYEING.NS
BOROLTD,BOROLTD.NS
BORORENEW,BORORENEW.NS
BOSCHLTD,BOSCHLTD.NS
BPCL,BPCL.NS
BPL,BPL.NS
BRIGADE,BRIGADE.NS
BRITANNIA,BRITANNIA.NS
BRNL,BRNL.NS
BROOKS,BROOKS.NS
BSE,BSE.NS
BSLGOLDETF,BSLGOLDETF.NS
BSLNIFTY,BSLNIFTY.NS
BSLSENETFG,BSLSENETFG.NS
BSOFT,BSOFT.NS
BURNPUR,BURNPUR.NS
BUTTERFLY,BUTTERFLY.NS
BVCL,BVCL.NS
BYKE,BYKE.NS
CALSOFT,CALSOFT.NS
CAMLINFINE,CAMLINFINE.NS
CAMPUS,CAMPUS.NS
CAMS,CAMS.NS
CANBK,CANBK.NS
CANFINHOME,CANFINHOME.NS
CANTABIL,CANTABIL.NS
CAPACITE,CAPACITE.NS
CAPLIPOINT,CAPLIPOINT.NS
CAPTRUST,CAPTRUST.NS
CARBORUNIV,CARBORUNIV.NS
CAREERP,CAREERP.NS
CARERATING,CARERATING.NS
CARTRADE,CARTRADE.NS
CARYSIL,CARYSIL.NS
CASTROLIND,CASTROLIND.NS
CCHHL,CCHHL.NS
CCL,CCL.NS
CDSL,CDSL.NS
CEATLTD,CEATLTD.NS
CELEBRITY,CELEBRITY.NS
CENTENKA,CENTENKA.NS
CENTEXT,CENTEXT.NS
CENTRALBK,CENTRALBK.NS
CENTRUM,CENTRUM.NS
CENTUM,CENTUM.NS
CENTURYPLY,CENTURYPLY.NS
CENTURYTEX,CENTURYTEX.NS
CERA,CERA.NS
CEREBRAINT,CEREBRAINT.NS
CESC,CESC.NS
CGCL,CGCL.NS
CGPOWER,CGPOWER.NS
CHALET,CHALET.NS
CHAMBLFERT,CHAMBLFERT.NS
CHEMBOND,CHEMBOND.NS
CHEMCON,CHEMCON.NS
CHEMFAB,CHEMFAB.NS
CHEMPLASTS,CHEMPLASTS.NS
CHENNPETRO,CHENNPETRO.NS
CHEVIOT,CHEVIOT.NS
CHOICEIN,CHOICEIN.NS
CHOLAFIN,CHOLAFIN.NS
CHOLAHLDNG,CHOLAHLDNG.NS
CIGNITITEC,CIGNITITEC.NS
CINELINE,CINELINE.NS
CINEVISTA,CINEVISTA.NS
CIPLA,CIPLA.NS
CLEAN,CLEAN.NS
CLEDUCATE,CLEDUCATE.NS
CLNINDIA,CLNINDIA.NS
CLSEL,CLSEL.NS
CMSINFO,CMSINFO.NS
